
Epoch #0, train loss: 137338.5781, train acc: 0.2190, test loss: 115433.5078, test acc: 0.2778 

Epoch #1, train loss: 107469.8047, train acc: 0.2190, test loss: 89623.1562, test acc: 0.2778 

Epoch #2, train loss: 74002.9453, train acc: 0.3262, test loss: 46405.6055, test acc: 0.3556 

Epoch #3, train loss: 48763.5938, train acc: 0.3548, test loss: 23331.3848, test acc: 0.4611 

Epoch #4, train loss: 26453.6035, train acc: 0.5024, test loss: 17476.8691, test acc: 0.4889 

Epoch #5, train loss: 21109.6973, train acc: 0.5024, test loss: 16228.1602, test acc: 0.4889 

Epoch #6, train loss: 8742.1221, train acc: 0.5024, test loss: 17175.8828, test acc: 0.4889 

Epoch #7, train loss: 8871.5977, train acc: 0.5024, test loss: 18614.6465, test acc: 0.4889 

Epoch #8, train loss: 5486.4634, train acc: 0.5024, test loss: 14139.5215, test acc: 0.4889 

Epoch #9, train loss: 6126.5986, train acc: 0.5024, test loss: 16283.2168, test acc: 0.4889 

Epoch #10, train loss: 3842.3667, train acc: 0.5024, test loss: 20169.1914, test acc: 0.4889 

Epoch #11, train loss: 4830.8550, train acc: 0.5024, test loss: 18435.4473, test acc: 0.4889 

Epoch #12, train loss: 4658.3442, train acc: 0.5024, test loss: 23173.2930, test acc: 0.4889 

Epoch #13, train loss: 7526.8911, train acc: 0.6976, test loss: 17261.1387, test acc: 0.5000 

Epoch #14, train loss: 2398.4712, train acc: 0.6976, test loss: 28497.3672, test acc: 0.5000 

Epoch #15, train loss: 4844.1401, train acc: 0.6976, test loss: 27679.9609, test acc: 0.5000 

Epoch #16, train loss: 4534.9546, train acc: 0.6976, test loss: 22740.6660, test acc: 0.5000 

Epoch #17, train loss: 3332.5332, train acc: 0.6976, test loss: 30252.8047, test acc: 0.5000 

Epoch #18, train loss: 5984.9800, train acc: 0.6976, test loss: 31788.4023, test acc: 0.5000 

Epoch #19, train loss: 7940.9116, train acc: 0.6976, test loss: 26042.9766, test acc: 0.5000 

Epoch #20, train loss: 6959.4028, train acc: 0.6976, test loss: 21303.6016, test acc: 0.5000 

Epoch #21, train loss: 5782.2256, train acc: 0.6976, test loss: 32227.0938, test acc: 0.5000 

Epoch #22, train loss: 8329.1621, train acc: 0.6976, test loss: 34595.8594, test acc: 0.5000 

Epoch #23, train loss: 5461.8369, train acc: 0.6976, test loss: 24794.0449, test acc: 0.5000 

Epoch #24, train loss: 4072.3391, train acc: 0.6976, test loss: 20931.8457, test acc: 0.5000 

Epoch #25, train loss: 2423.3992, train acc: 0.6976, test loss: 22877.8652, test acc: 0.5000 

Epoch #26, train loss: 3262.0200, train acc: 0.6976, test loss: 30113.8828, test acc: 0.5000 

Epoch #27, train loss: 2968.1392, train acc: 0.6976, test loss: 20713.3848, test acc: 0.5000 

Epoch #28, train loss: 1193.9822, train acc: 0.6976, test loss: 29035.2539, test acc: 0.5000 

Epoch #29, train loss: 838.5081, train acc: 0.6976, test loss: 25104.1152, test acc: 0.5000 

Epoch #30, train loss: 666.1627, train acc: 0.6976, test loss: 27130.8359, test acc: 0.5000 

Epoch #31, train loss: 592.1429, train acc: 0.6976, test loss: 30937.7188, test acc: 0.5000 

Epoch #32, train loss: 2374.1938, train acc: 0.6976, test loss: 22253.7227, test acc: 0.5000 

Epoch #33, train loss: 1359.0061, train acc: 0.6976, test loss: 31404.8926, test acc: 0.5000 

Epoch #34, train loss: 474.5285, train acc: 0.6976, test loss: 23039.5098, test acc: 0.5000 

Epoch #35, train loss: 466.4558, train acc: 0.6976, test loss: 26944.1465, test acc: 0.5000 

Epoch #36, train loss: 1312.1263, train acc: 0.6976, test loss: 27812.8164, test acc: 0.5000 

Epoch #37, train loss: 965.2603, train acc: 0.9286, test loss: 22133.4785, test acc: 0.5056 

Epoch #38, train loss: 59.3540, train acc: 0.9286, test loss: 19586.9922, test acc: 0.5056 

Epoch #39, train loss: 149.6357, train acc: 0.9286, test loss: 21824.0000, test acc: 0.5056 

Epoch #40, train loss: 270.9562, train acc: 0.9286, test loss: 19561.2324, test acc: 0.5056 

Epoch #41, train loss: 44.1442, train acc: 0.9286, test loss: 18782.6562, test acc: 0.5056 

Epoch #42, train loss: 289.1848, train acc: 0.9786, test loss: 18895.6660, test acc: 0.5056 

Epoch #43, train loss: 14.2781, train acc: 0.9786, test loss: 24964.6387, test acc: 0.5056 

Epoch #44, train loss: 140.1098, train acc: 0.9786, test loss: 25545.1406, test acc: 0.5056 

Epoch #45, train loss: 51.2100, train acc: 0.9786, test loss: 25995.3828, test acc: 0.5056 

Epoch #46, train loss: 278.2986, train acc: 0.9857, test loss: 21831.7090, test acc: 0.5111 

Epoch #47, train loss: 0.0000, train acc: 0.9857, test loss: 19024.5898, test acc: 0.5111 

Epoch #48, train loss: 69.0759, train acc: 0.9857, test loss: 19703.1777, test acc: 0.5111 

Epoch #49, train loss: 14.4665, train acc: 0.9857, test loss: 23032.5488, test acc: 0.5111 

Epoch #50, train loss: 233.5538, train acc: 0.9857, test loss: 28001.1836, test acc: 0.5111 

Epoch #51, train loss: 339.2315, train acc: 0.9857, test loss: 25806.8887, test acc: 0.5111 

Epoch #52, train loss: 311.8480, train acc: 0.9857, test loss: 28156.6113, test acc: 0.5111 

Epoch #53, train loss: 750.9318, train acc: 0.9857, test loss: 22474.0801, test acc: 0.5111 

Epoch #54, train loss: 342.3685, train acc: 0.9857, test loss: 23463.2637, test acc: 0.5111 

Epoch #55, train loss: 393.5078, train acc: 0.9857, test loss: 19335.6523, test acc: 0.5111 

Epoch #56, train loss: 636.5829, train acc: 0.9857, test loss: 21137.8418, test acc: 0.5111 

Epoch #57, train loss: 358.7197, train acc: 0.9857, test loss: 20671.3848, test acc: 0.5111 

Epoch #58, train loss: 490.3886, train acc: 0.9857, test loss: 24217.7012, test acc: 0.5111 

Epoch #59, train loss: 453.6062, train acc: 0.9857, test loss: 32278.8574, test acc: 0.5111 

Epoch #60, train loss: 2136.8677, train acc: 0.9857, test loss: 29481.6602, test acc: 0.5111 

Epoch #61, train loss: 541.6576, train acc: 0.9857, test loss: 22329.5449, test acc: 0.5111 

Epoch #62, train loss: 213.8865, train acc: 0.9857, test loss: 28480.8965, test acc: 0.5111 

Epoch #63, train loss: 262.8125, train acc: 0.9857, test loss: 23476.4336, test acc: 0.5111 

Epoch #64, train loss: 111.9176, train acc: 0.9857, test loss: 27288.8789, test acc: 0.5111 

Epoch #65, train loss: 402.0558, train acc: 0.9857, test loss: 21331.8828, test acc: 0.5111 

Epoch #66, train loss: 9.6067, train acc: 0.9857, test loss: 27064.2012, test acc: 0.5111 

Epoch #67, train loss: 95.5681, train acc: 0.9857, test loss: 29302.2090, test acc: 0.5111 

Epoch #68, train loss: 225.8927, train acc: 0.9857, test loss: 20546.3965, test acc: 0.5111 

Epoch #69, train loss: 629.2355, train acc: 0.9667, test loss: 20337.1250, test acc: 0.5278 

Epoch #70, train loss: 219.0431, train acc: 0.9667, test loss: 27289.9395, test acc: 0.5278 

Epoch #71, train loss: 311.8457, train acc: 0.9667, test loss: 26662.5645, test acc: 0.5278 

Epoch #72, train loss: 333.7964, train acc: 0.9667, test loss: 22559.4414, test acc: 0.5278 

Epoch #73, train loss: 637.4156, train acc: 0.9667, test loss: 30395.2363, test acc: 0.5278 

Epoch #74, train loss: 1256.8389, train acc: 0.9667, test loss: 28028.3516, test acc: 0.5278 

Epoch #75, train loss: 529.3393, train acc: 0.9667, test loss: 51983.6406, test acc: 0.5278 

